1,1,3/17/2022,4/2/2022,10,00,0.5,,1,0
2,6,3/17/2022,4/2/2022,12,30,0.5,4,,0
3,5,3/27/2022,4/2/2022,15,30,0.5,1,,0
4,1,3/27/2022,4/2/2022,10,00,0.5,1,,0
5,3,3/27/2022,4/4/2022,10,00,0.5,,1,0
6,2,3/28/2022,4/4/2022,12,30,0.5,,1,0
7,1,3/28/2022,4/4/2022,15,30,0.5,,1,0
8,1,3/28/2022,4/4/2022,10,00,0.5,,2,0
9,3,3/28/2022,4/4/2022,10,00,0.5,1,,0
10,8,3/29/2022,4/5/2022,9,00,0.5,,1,0
11,2,3/29/2022,4/5/2022,10,30,0.5,9,,0
12,5,3/29/2022,4/5/2022,9,00,0.5,,2,0
13,8,3/29/2022,4/5/2022,9,00,0.5,,3,0
14,1,3/29/2022,4/5/2022,9,00,0.5,,4,0
15,6,3/29/2022,4/6/2022,14,00,0.5,,1,0
16,5,3/29/2022,4/6/2022,14,30,0.5,,1,0
17,9,3/29/2022,4/6/2022,14,30,0.5,,2,1
18,1,3/29/2022,4/6/2022,14,00,0.5,,2,0
19,9,3/29/2022,4/6/2022,14,00,0.5,,3,1
20,7,3/29/2022,4/6/2022,14,00,0.5,,4,0
21,7,4/6/2022,5/27/2022,13,00,0.5,6,,1
