1,1,SAT,3/17/2022,4/2/2022,10,0,,1,0
2,6,SAT,3/17/2022,4/2/2022,12,30,4,,0
3,5,SAT,3/27/2022,4/2/2022,15,30,1,,0
4,1,SAT,3/27/2022,4/2/2022,10,0,1,,0
5,3,MON,3/27/2022,4/4/2022,10,0,,1,0
6,2,MON,3/28/2022,4/4/2022,12,30,,1,0
7,1,MON,3/28/2022,4/4/2022,15,30,,1,0
8,1,MON,3/28/2022,4/4/2022,10,0,,2,0
9,3,MON,3/28/2022,4/4/2022,10,0,1,,0
10,8,TUES,3/29/2022,4/5/2022,9,0,,1,0
11,2,TUES,3/29/2022,4/5/2022,10,30,9,,0
12,5,TUES,3/29/2022,4/5/2022,9,0,,2,0
13,8,TUES,3/29/2022,4/5/2022,9,0,,3,0
14,1,TUES,3/29/2022,4/5/2022,9,0,,4,0
15,6,WED,3/29/2022,4/6/2022,14,0,,1,0
16,5,WED,3/29/2022,4/6/2022,14,30,,1,0
17,9,WED,3/29/2022,4/6/2022,14,30,,2,1
18,1,WED,3/29/2022,4/6/2022,14,0,,2,0
19,9,WED,3/29/2022,4/6/2022,14,0,,3,1
20,7,WED,3/29/2022,4/6/2022,14,0,,4,0
21,7,FRI,4/6/2022,5/27/2022,13,0,6,,1
